Age,Gender,Weight,Height,BMI,Goal,Calories Burned,Workout Time (min),Workout Recommendation
38,Female,68.0,174.2,22.4,Maintain Weight,7.58,52,Cycling
23,Other,86.9,155.4,36.0,Lose Weight,4.04,10,Running
57,Other,50.4,159.8,19.7,Build Muscles,20.26,185,Dumbbell Snatches
15,Other,48.1,153.3,20.5,Build Muscles,22.48,208,Chest Dips
47,Other,72.2,160.9,27.9,Lose Weight,20.73,182,Swimming
27,Other,60.2,157.1,24.4,Build Muscles,19.31,172,Shoulder Press
54,Male,45.1,181.5,13.7,Gain Weight,31.58,225,Overhead Press
29,Male,66.4,171.9,22.5,Build Muscles,20.46,136,Shoulder Press
45,Male,89.3,181.0,27.2,Lose Weight,14.06,82,Running
18,Male,89.5,161.8,34.2,Lose Weight,14.73,87,Jump Rope
41,Male,58.5,187.5,16.7,Gain Weight,13.65,87,Bent-Over Rows
56,Other,56.9,154.4,23.9,Build Muscles,23.99,220,Barbell Rows
19,Female,81.0,164.8,29.8,Lose Weight,5.04,22,Rowing
60,Male,67.3,169.2,23.5,Maintain Weight,15.29,97,Bodyweight Exercises
32,Other,116.5,164.7,42.9,Lose Weight,16.08,120,Jumping Jacks
18,Male,57.6,176.4,18.5,Gain Weight,7.35,40,Pull-ups
49,Other,54.8,163.0,20.6,Maintain Weight,5.32,34,Swimming
52,Other,48.1,169.3,16.8,Gain Weight,20.28,186,Bench Press
18,Male,116.6,174.2,38.4,Lose Weight,26.35,167,Speed Skaters
30,Other,89.5,158.9,35.4,Lose Weight,19.83,167,Box Jumps
42,Male,65.5,164.5,24.2,Build Muscles,33.23,232,Shoulder Press
42,Other,60.9,158.3,24.3,Build Muscles,24.33,222,Lunges
46,Female,102.8,160.6,39.9,Lose Weight,12.9,93,Burpees
26,Other,69.4,173.1,23.2,Maintain Weight,13.53,111,Balance Exercises
30,Other,59.4,153.7,25.2,Lose Weight,22.98,209,Rowing
45,Female,68.3,170.5,23.5,Maintain Weight,4.59,22,Light Weight Training
22,Male,61.1,188.8,17.1,Gain Weight,22.0,149,Tricep Extensions
28,Other,78.7,167.7,28.0,Lose Weight,23.45,207,Jump Rope
22,Other,57.7,156.0,23.7,Build Muscles,20.02,180,Barbell Rows
31,Male,73.0,163.6,27.3,Lose Weight,29.35,201,Jump Rope
40,Other,54.6,165.8,19.9,Maintain Weight,5.81,39,Elliptical
44,Male,113.5,180.1,35.0,Lose Weight,12.37,63,Sprints
36,Female,89.9,160.4,34.9,Lose Weight,26.35,232,Jump Rope
32,Female,45.1,152.0,19.5,Maintain Weight,9.48,79,Planks
15,Other,72.4,155.1,30.1,Lose Weight,7.93,54,Swimming
18,Male,53.2,162.0,20.3,Maintain Weight,7.6,43,Light Weight Training
58,Female,97.7,170.0,33.8,Lose Weight,23.92,205,Sprints
23,Other,71.4,161.6,27.4,Lose Weight,5.3,28,Jumping Jacks
17,Female,62.2,145.7,29.3,Lose Weight,17.68,155,Running
45,Female,77.7,170.3,26.8,Lose Weight,8.42,57,Skipping
21,Female,71.2,165.4,26.0,Lose Weight,17.59,151,Jump Rope
17,Male,67.7,159.3,26.7,Lose Weight,22.24,149,Skipping
31,Female,80.3,154.0,33.9,Lose Weight,5.81,30,Stair Climbing
15,Other,110.6,155.1,46.0,Lose Weight,9.57,57,Jump Rope
26,Male,97.9,183.7,29.0,Lose Weight,13.83,78,Jumping Jacks
49,Other,58.1,173.6,19.3,Maintain Weight,10.73,87,Balance Exercises
36,Male,62.2,161.6,23.8,Build Muscles,21.38,144,Chin-ups
19,Other,52.4,154.5,21.9,Maintain Weight,7.03,52,Pilates
17,Other,111.1,163.7,41.5,Lose Weight,18.09,142,Sprints
56,Other,65.1,172.8,21.8,Maintain Weight,13.18,109,Walking
37,Other,72.5,173.6,24.1,Maintain Weight,11.04,85,Low-Impact Aerobics
28,Other,65.2,172.8,21.8,Maintain Weight,13.48,112,Rowing
43,Male,106.0,168.7,37.3,Lose Weight,9.04,40,Skipping
35,Female,77.2,165.0,28.3,Lose Weight,3.7,10,Box Jumps
24,Other,98.0,151.9,42.4,Lose Weight,25.03,216,High-Knees
49,Female,60.7,166.1,22.0,Maintain Weight,5.43,33,Hiking
20,Female,56.9,162.6,21.5,Maintain Weight,9.69,77,Hiking
35,Male,113.1,176.7,36.2,Lose Weight,25.43,161,HIIT
28,Other,79.7,167.3,28.5,Lose Weight,22.89,201,Burpees
18,Other,73.1,155.0,30.4,Lose Weight,7.76,52,Burpees
50,Female,57.8,157.5,23.3,Build Muscles,23.62,216,Push Press
60,Other,48.4,154.6,20.2,Build Muscles,15.69,140,Kettlebell Swings
18,Female,54.3,164.4,20.1,Build Muscles,21.9,200,Dumbbell Snatches
35,Female,101.7,164.4,37.6,Lose Weight,27.26,237,Speed Skaters
18,Female,72.0,165.9,26.2,Lose Weight,3.92,14,Burpees
48,Female,66.6,172.0,22.5,Maintain Weight,7.93,56,Low-Impact Aerobics
26,Male,58.1,163.0,21.9,Build Muscles,30.17,211,Shoulder Press
39,Male,113.2,162.4,42.9,Lose Weight,30.1,196,Sprints
23,Male,47.2,166.0,17.1,Gain Weight,21.52,149,Chest Flyes
31,Female,66.3,167.8,23.5,Maintain Weight,3.52,12,Yoga
24,Other,63.6,160.4,24.7,Build Muscles,24.63,224,Weighted Pull-ups
60,Female,58.4,167.6,20.8,Build Muscles,25.44,234,Squats
60,Male,49.8,171.3,17.0,Gain Weight,31.08,220,Overhead Press
16,Female,52.7,162.1,20.1,Maintain Weight,2.75,9,Balance Exercises
20,Other,57.0,167.7,20.3,Build Muscles,20.8,188,Kettlebell Swings
25,Male,94.0,180.7,28.8,Lose Weight,24.89,162,Running
40,Male,69.0,172.7,23.2,Build Muscles,20.02,132,Squats
48,Female,111.4,155.2,46.3,Lose Weight,4.8,9,Skipping
25,Female,70.4,165.7,25.6,Lose Weight,6.06,36,High-Knees
41,Male,57.3,171.7,19.4,Build Muscles,26.01,180,Lunges
41,Other,54.1,159.1,21.4,Build Muscles,13.99,121,Kettlebell Swings
32,Female,87.2,162.6,33.0,Lose Weight,23.05,200,Speed Skaters
22,Female,60.7,156.7,24.7,Maintain Weight,12.72,106,Stretching
44,Male,66.6,180.7,20.4,Build Muscles,27.13,186,Push Press
48,Female,62.7,157.2,25.4,Lose Weight,2.19,0,High-Knees
45,Other,66.8,164.9,24.6,Build Muscles,22.24,199,Chest Dips
16,Male,89.6,167.5,31.9,Lose Weight,23.0,149,Burpees
50,Other,96.2,172.9,32.2,Lose Weight,14.67,113,Swimming
55,Other,68.9,163.3,25.8,Lose Weight,18.01,156,Cycling
36,Other,97.2,156.2,39.8,Lose Weight,20.2,168,Mountain Climbers
46,Female,94.3,164.4,34.9,Lose Weight,24.3,210,Box Jumps
44,Male,94.9,187.2,27.1,Lose Weight,32.12,216,Sprints
20,Other,59.4,168.2,21.0,Build Muscles,17.98,159,Kettlebell Swings
17,Other,68.3,163.4,25.6,Lose Weight,11.19,88,Jumping Jacks
49,Female,61.5,172.8,20.6,Maintain Weight,13.15,110,Elliptical
44,Female,68.5,172.8,22.9,Build Muscles,24.4,220,Weighted Pull-ups
50,Other,75.5,162.8,28.5,Lose Weight,23.24,206,Jumping Jacks
28,Female,66.5,170.9,22.8,Maintain Weight,13.43,111,Hiking
52,Other,73.5,153.2,31.3,Lose Weight,8.17,56,Swimming
31,Male,82.0,184.6,24.1,Maintain Weight,12.47,72,Balance Exercises
15,Female,46.0,164.6,17.0,Gain Weight,12.21,106,Bench Press
49,Other,57.2,161.6,21.9,Build Muscles,23.3,213,Squats
33,Female,71.4,163.5,26.7,Lose Weight,26.1,236,High-Knees
31,Male,66.3,187.4,18.9,Build Muscles,30.05,208,Cable Machine Exercises
46,Other,48.1,154.5,20.2,Maintain Weight,10.28,86,Planks
53,Female,93.5,170.9,32.0,Lose Weight,20.97,177,Jumping Jacks
44,Male,68.6,179.8,21.2,Maintain Weight,4.54,16,Core Workouts
29,Male,59.1,182.0,17.8,Gain Weight,19.8,133,Lateral Raises
27,Female,65.1,169.8,22.6,Build Muscles,21.58,193,Cable Machine Exercises
20,Female,66.5,165.6,24.2,Build Muscles,18.63,163,Chest Dips
48,Other,60.4,157.2,24.4,Build Muscles,24.31,222,Deadlifts
35,Female,87.4,169.2,30.5,Lose Weight,8.56,55,HIIT
39,Other,61.4,161.4,23.6,Build Muscles,20.75,186,Lunges
53,Male,70.3,173.1,23.5,Maintain Weight,12.73,77,Elliptical
32,Male,55.0,169.7,19.1,Build Muscles,31.52,222,Squats
16,Female,115.2,163.1,43.3,Lose Weight,9.53,55,Running
29,Other,59.2,165.2,21.7,Build Muscles,17.07,150,Weighted Pull-ups
58,Female,75.6,157.0,30.7,Lose Weight,25.85,232,Cycling
35,Male,66.9,168.0,23.7,Maintain Weight,18.34,120,Stretching
20,Other,68.4,162.5,25.9,Lose Weight,17.69,153,Speed Skaters
31,Female,69.2,162.0,26.4,Lose Weight,25.32,229,Mountain Climbers
53,Female,110.4,156.0,45.4,Lose Weight,10.86,70,Cycling
52,Other,88.1,151.5,38.4,Lose Weight,15.78,127,Jumping Jacks
60,Male,67.9,167.1,24.3,Maintain Weight,16.38,105,Walking
31,Male,63.0,169.5,21.9,Build Muscles,23.01,156,Power Cleans
17,Male,105.9,155.3,43.9,Lose Weight,17.31,102,Skipping
40,Other,65.9,156.1,27.1,Lose Weight,3.41,11,High-Knees
60,Male,45.3,162.1,17.2,Gain Weight,32.78,234,Deadlifts
15,Female,82.0,151.3,35.8,Lose Weight,18.47,156,Skipping
27,Other,61.6,159.1,24.3,Maintain Weight,8.25,61,Light Weight Training
23,Female,81.0,151.1,35.5,Lose Weight,18.93,161,Rowing
21,Other,70.9,160.2,27.6,Lose Weight,19.48,170,Box Jumps
27,Male,104.5,182.1,31.5,Lose Weight,4.86,9,Stair Climbing
33,Male,107.9,169.5,37.5,Lose Weight,14.04,77,Cycling
57,Female,75.9,165.2,27.8,Lose Weight,4.46,18,High-Knees
35,Male,91.8,184.4,27.0,Lose Weight,26.55,175,Cycling
35,Female,69.4,170.9,23.7,Build Muscles,15.83,134,Bench Press
50,Other,89.3,167.2,31.9,Lose Weight,8.13,50,Mountain Climbers
55,Female,48.2,158.1,19.3,Build Muscles,24.99,233,Cable Machine Exercises
59,Male,61.0,175.5,19.8,Build Muscles,32.94,231,Kettlebell Swings
49,Female,45.9,154.5,19.3,Build Muscles,14.41,128,Leg Press
43,Female,59.7,155.3,24.8,Build Muscles,22.79,207,Chest Dips
59,Other,93.8,168.8,32.9,Lose Weight,16.88,136,Burpees
15,Other,72.2,159.8,28.3,Lose Weight,6.73,42,Jumping Jacks
57,Other,61.1,165.5,22.3,Build Muscles,21.84,197,Dumbbell Snatches
34,Female,70.1,155.2,29.1,Lose Weight,22.55,201,HIIT
44,Female,81.1,169.7,28.2,Lose Weight,24.34,215,Box Jumps
33,Male,73.8,169.8,25.6,Lose Weight,24.05,161,Skipping
53,Male,68.4,184.8,20.0,Build Muscles,34.26,239,Weighted Pull-ups
19,Male,72.3,185.6,21.0,Build Muscles,34.26,238,Push Press
40,Male,61.9,184.4,18.2,Gain Weight,22.97,156,Bench Press
29,Female,74.0,154.5,31.0,Lose Weight,17.39,148,Cycling
43,Female,57.1,156.2,23.4,Build Muscles,25.5,235,Weighted Pull-ups
23,Other,62.3,159.3,24.5,Maintain Weight,6.08,39,Balance Exercises
21,Male,113.4,184.6,33.3,Lose Weight,31.17,204,Stair Climbing
52,Female,92.9,169.4,32.4,Lose Weight,22.15,189,Rowing
48,Male,58.2,189.3,16.3,Gain Weight,9.77,58,Tricep Extensions
47,Male,118.1,163.6,44.1,Lose Weight,19.73,117,Stair Climbing
17,Other,71.7,157.6,28.9,Lose Weight,5.91,34,Jump Rope
37,Female,68.3,163.9,25.4,Lose Weight,26.39,240,Sprints
52,Female,65.4,163.7,24.4,Build Muscles,23.49,212,Weighted Pull-ups
15,Female,72.7,160.5,28.2,Lose Weight,17.15,146,Rowing
30,Other,96.5,155.0,40.2,Lose Weight,9.68,63,Cycling
49,Female,59.0,152.7,25.3,Lose Weight,10.96,89,Box Jumps
21,Female,72.0,164.5,26.6,Lose Weight,15.52,130,Speed Skaters
57,Other,64.9,170.8,22.2,Maintain Weight,9.27,70,Planks
47,Male,69.9,164.6,25.8,Lose Weight,26.85,183,Jumping Jacks
24,Female,72.7,154.7,30.4,Lose Weight,23.65,211,Mountain Climbers
38,Female,109.5,163.0,41.2,Lose Weight,8.63,48,High-Knees
53,Other,69.6,167.2,24.9,Maintain Weight,2.83,4,Rowing
47,Other,101.1,174.3,33.3,Lose Weight,27.54,240,Stair Climbing
25,Male,65.1,166.0,23.6,Build Muscles,25.21,172,Chin-ups
27,Other,46.0,155.1,19.1,Maintain Weight,12.31,107,Bodyweight Exercises
48,Male,81.0,174.2,26.7,Lose Weight,10.04,54,High-Knees
59,Male,49.0,183.5,14.5,Gain Weight,6.51,36,Deadlifts
60,Other,116.9,165.6,42.6,Lose Weight,15.69,116,Box Jumps
38,Other,117.3,166.3,42.4,Lose Weight,18.61,145,Running
28,Male,73.4,164.5,27.1,Lose Weight,19.9,130,Speed Skaters
19,Female,77.6,150.5,34.3,Lose Weight,6.52,38,Mountain Climbers
59,Other,51.2,155.6,21.2,Maintain Weight,2.39,6,Elliptical
16,Male,86.3,159.6,33.9,Lose Weight,6.22,24,Cycling
47,Other,78.5,151.6,34.2,Lose Weight,10.85,81,Burpees
47,Male,71.0,179.0,22.2,Maintain Weight,14.49,90,Core Workouts
17,Female,85.7,157.8,34.4,Lose Weight,15.5,125,High-Knees
45,Other,64.5,154.0,27.2,Lose Weight,21.56,193,Stair Climbing
51,Other,98.0,156.7,39.9,Lose Weight,3.53,1,Speed Skaters
55,Other,89.6,163.0,33.7,Lose Weight,24.34,212,HIIT
27,Other,56.5,156.9,23.0,Build Muscles,21.98,200,Lunges
30,Male,66.2,174.8,21.7,Maintain Weight,14.45,91,Yoga
16,Female,70.7,155.9,29.1,Lose Weight,14.07,116,High-Knees
45,Other,58.3,166.7,21.0,Maintain Weight,9.04,70,Low-Impact Aerobics
20,Male,82.7,179.9,25.6,Lose Weight,24.63,163,Cycling
26,Other,76.2,167.2,27.3,Lose Weight,19.17,165,Skipping
57,Male,63.1,178.2,19.9,Maintain Weight,7.67,41,Planks
52,Male,58.5,161.3,22.5,Maintain Weight,5.92,29,Elliptical
56,Female,64.7,165.2,23.7,Maintain Weight,4.26,20,Balance Exercises
56,Male,63.8,170.7,21.9,Maintain Weight,13.7,86,Low-Impact Aerobics
52,Other,114.0,165.1,41.8,Lose Weight,24.19,202,Mountain Climbers
20,Male,51.8,189.0,14.5,Gain Weight,20.48,140,Push-ups
55,Other,77.0,155.7,31.8,Lose Weight,18.2,155,Speed Skaters
42,Other,65.7,166.7,23.6,Maintain Weight,13.8,115,Core Workouts
20,Male,46.9,184.5,13.8,Gain Weight,14.84,99,Tricep Extensions
32,Other,52.2,165.9,18.9,Maintain Weight,12.73,109,Planks
22,Female,86.9,154.3,36.5,Lose Weight,25.44,224,Jump Rope
22,Male,81.7,189.2,22.8,Maintain Weight,13.66,81,Pilates
58,Male,106.6,181.3,32.4,Lose Weight,22.53,141,Skipping
50,Female,54.0,160.5,21.0,Build Muscles,25.49,236,Deadlifts
15,Other,61.1,151.1,26.8,Lose Weight,19.64,175,Rowing
46,Male,56.1,169.0,19.6,Maintain Weight,2.5,4,Bodyweight Exercises
60,Female,48.0,171.3,16.4,Gain Weight,5.68,40,Lateral Raises
52,Male,99.2,181.9,30.0,Lose Weight,15.2,88,Stair Climbing
58,Male,56.7,162.4,21.5,Build Muscles,31.98,225,Cable Machine Exercises
49,Female,61.0,153.0,26.0,Lose Weight,12.24,101,Rowing
43,Male,52.5,185.7,15.2,Gain Weight,9.44,57,Tricep Extensions
24,Female,70.6,157.2,28.6,Lose Weight,18.47,160,Stair Climbing
42,Other,61.9,152.3,26.7,Lose Weight,8.67,65,Speed Skaters
23,Male,67.3,171.7,22.8,Maintain Weight,8.49,46,Swimming
58,Female,76.6,150.3,33.9,Lose Weight,17.68,150,Swimming
54,Male,72.1,181.2,21.9,Build Muscles,28.52,195,Squats
57,Other,94.1,164.2,34.9,Lose Weight,17.49,142,Running
54,Male,95.0,180.9,29.0,Lose Weight,4.66,10,Box Jumps
21,Male,98.3,170.6,33.8,Lose Weight,20.64,129,Swimming
40,Other,64.1,174.9,20.9,Maintain Weight,8.34,61,Stretching
46,Female,63.6,158.0,25.4,Lose Weight,9.22,70,Cycling
15,Male,93.4,155.9,38.4,Lose Weight,21.13,134,Jump Rope
39,Female,67.5,161.3,26.0,Lose Weight,4.46,21,Swimming
21,Other,67.0,165.8,24.4,Build Muscles,16.95,146,Squats
42,Male,63.3,189.1,17.7,Gain Weight,3.28,8,Shrugs
58,Male,73.4,165.7,26.7,Lose Weight,19.37,126,Running
54,Female,81.5,159.5,32.1,Lose Weight,17.35,145,Jumping Jacks
48,Female,48.7,172.7,16.3,Gain Weight,8.31,66,Shrugs
48,Other,92.9,165.7,33.8,Lose Weight,9.85,66,Rowing
18,Male,57.1,168.5,20.1,Build Muscles,21.07,143,Weighted Pull-ups
50,Female,69.6,153.4,29.6,Lose Weight,4.24,18,Jumping Jacks
49,Male,61.2,179.3,19.0,Build Muscles,26.54,183,Dumbbell Snatches
39,Other,64.9,160.9,25.1,Lose Weight,15.57,133,HIIT
35,Male,70.0,167.7,24.9,Lose Weight,23.78,160,Box Jumps
16,Other,62.7,149.1,28.2,Lose Weight,11.2,90,Box Jumps
53,Male,65.6,184.5,19.3,Build Muscles,26.29,180,Barbell Rows
43,Male,67.2,162.2,25.5,Lose Weight,4.49,16,Burpees
24,Other,50.3,159.2,19.9,Maintain Weight,9.26,75,Hiking
59,Female,57.5,167.0,20.6,Maintain Weight,10.81,88,Cycling
59,Other,58.8,153.6,24.9,Lose Weight,23.66,216,Box Jumps
